seas,wk,team,sck,saf,blk,ints,frcv,tdd,tdret,pts_allow
2000,12,DAL,2.0,0,0,2,1,0,0,27.0000
2000,12,CHI,4.0,0,0,2,1,1,0,10.0000
2000,12,TB,1.0,0,0,1,0,0,0,13.0000
2000,12,DEN,3.0,0,0,1,3,0,0,37.0000
2000,12,SD,3.0,0,0,4,1,1,0,38.0000
2000,12,GB,3.0,1,0,1,1,0,1,24.0000
2000,12,IND,2.0,0,0,1,0,0,0,26.0000
2000,12,BUF,5.0,0,1,1,1,0,0,17.0000
2000,12,KC,3.0,0,0,0,0,0,0,21.0000
2000,12,NYJ,3.0,0,0,3,1,0,0,3.0000
2000,12,MIA,2.0,0,0,2,0,0,0,20.0000
2000,12,MIN,5.0,0,0,2,1,0,0,17.0000
2000,12,CAR,1.0,0,0,0,2,0,0,31.0000
2000,12,CIN,1.0,0,0,1,0,0,0,16.0000
2000,12,NE,1.0,0,0,1,2,0,0,13.0000
2000,12,NO,5.0,0,0,0,1,0,0,31.0000
2000,12,OAK,3.0,0,0,1,0,0,0,22.0000
2000,12,NYG,1.0,0,0,1,1,0,0,31.0000
2000,12,DET,4.0,0,1,1,3,0,0,21.0000
2000,12,PHI,8.0,0,0,1,0,1,0,9.0000
2000,12,ARI,3.0,0,0,1,1,0,0,34.0000
2000,12,ATL,0.0,0,0,0,1,0,0,16.0000
2000,12,SF,4.0,0,0,1,0,1,0,6.0000
2000,12,TEN,4.0,0,0,1,0,0,0,10.0000
2000,12,CLE,3.0,0,0,3,4,1,0,24.0000
2000,12,PIT,3.0,0,0,1,1,0,0,34.0000
2000,12,JAC,5.0,0,0,2,2,0,0,24.0000
2000,12,WAS,6.0,1,0,1,2,0,0,20.0000
2000,12,STL,2.0,0,0,1,0,0,0,33.0000
2000,13,MIN,0.0,0,0,1,1,0,0,15.0000
2000,13,DAL,2.0,0,0,0,0,0,0,27.0000
2000,13,NE,2.0,0,0,0,1,0,0,34.0000
2000,13,DET,2.0,0,0,2,0,1,0,9.0000
2000,13,BAL,6.0,0,0,1,2,0,0,7.0000
2000,13,CLE,0.0,0,0,1,1,0,0,44.0000
2000,13,PIT,4.0,0,0,0,3,1,0,28.0000
2000,13,CIN,4.0,0,0,0,2,0,0,48.0000
2000,13,MIA,0.0,0,0,1,0,0,0,14.0000
2000,13,IND,2.0,0,0,0,0,0,0,17.0000
2000,13,TEN,3.0,0,0,2,0,0,0,16.0000
2000,13,JAC,2.0,0,0,0,0,0,0,13.0000
2000,13,NYJ,0.0,0,0,0,3,0,0,10.0000
2000,13,CHI,0.0,0,0,1,0,0,0,17.0000
2000,13,ATL,1.0,0,0,0,1,0,0,41.0000
2000,13,OAK,6.0,0,0,1,1,0,0,14.0000
2000,13,SD,5.0,0,0,1,0,0,0,16.0000
2000,13,KC,6.0,0,0,2,3,1,0,17.0000
2000,13,DEN,1.0,0,0,2,1,1,0,31.0000
2000,13,SEA,1.0,0,0,2,3,2,0,38.0000
2000,13,STL,1.0,0,0,2,1,0,0,31.0000
2000,13,NO,6.0,0,0,1,2,0,0,24.0000
2000,13,BUF,7.0,0,0,0,0,0,0,31.0000
2000,13,TB,6.0,0,0,0,2,0,0,17.0000
2000,13,PHI,1.0,0,0,0,1,0,0,20.0000
2000,13,WAS,4.0,0,0,1,1,0,0,23.0000
2000,13,NYG,5.0,0,0,1,3,0,0,7.0000
2000,13,ARI,1.0,0,0,0,1,0,0,31.0000
2000,13,GB,2.0,0,0,1,1,0,0,31.0000
2000,13,CAR,3.0,0,0,3,1,0,0,14.0000
2000,14,MIN,5.0,0,0,1,1,0,0,17.0000
2000,14,DET,0.0,0,0,2,0,0,0,24.0000
2000,14,ATL,0.0,0,0,0,0,0,0,30.0000
2000,14,SEA,4.0,0,0,2,2,1,0,10.0000
2000,14,BUF,2.0,0,0,0,1,0,0,33.0000
2000,14,MIA,6.0,0,0,3,0,0,0,6.0000
2000,14,STL,7.0,0,0,2,0,0,0,16.0000
2000,14,CAR,2.0,0,0,4,2,1,0,3.0000
2000,14,CIN,1.0,0,0,1,1,0,0,13.0000
2000,14,ARI,1.0,0,0,1,0,0,0,24.0000
2000,14,CLE,2.0,0,0,0,0,0,0,48.0000
2000,14,JAC,6.0,0,0,0,1,0,0,0.0000
2000,14,DEN,3.0,0,0,2,1,0,0,23.0000
2000,14,NO,1.0,0,0,0,0,0,0,38.0000
2000,14,IND,2.0,0,0,1,0,0,0,27.0000
2000,14,NYJ,3.0,0,0,2,0,0,0,17.0000
2000,14,TEN,5.0,0,0,0,0,0,0,13.0000
2000,14,PHI,1.0,0,0,0,2,0,0,15.0000
2000,14,PIT,0.0,0,0,0,2,0,0,20.0000
2000,14,OAK,5.0,0,0,1,0,1,0,21.0000
2000,14,SF,2.0,0,0,4,1,1,0,17.0000
2000,14,SD,2.0,0,0,0,0,0,0,45.0000
2000,14,TB,2.0,0,0,1,3,1,0,7.0000
